,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
9340,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
9464,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1
9468,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
9469,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
9470,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
9724,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
10364,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
10488,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1
10492,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1
11000,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1
11004,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1
11368,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
11372,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1
11376,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1
11378,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1
11380,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1
11382,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1
11384,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
11386,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1
11388,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
11389,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
11390,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1
11452,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1
11484,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1
11500,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1
11508,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1
11512,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11513,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11514,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11516,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11517,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11518,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11519,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1
11640,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1
11644,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1
11768,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1
11772,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
11773,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
11774,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
12024,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1
12028,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
15612,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1
15744,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
15746,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1
15752,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1
16500,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
16504,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1
16508,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
16509,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
16536,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
16560,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
16564,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1
16568,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1
16572,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1
16584,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1
16600,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
16604,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1
16608,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
16612,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
16616,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1
16620,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1
16624,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
16628,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1
16629,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1
16632,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16633,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16634,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16635,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16636,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16637,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16638,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16639,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1
16764,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
16768,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
16776,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
16784,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
16792,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1
16796,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1
16800,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
16824,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
16832,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
16840,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1
16844,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
16856,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
16860,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1
16864,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
16872,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
16876,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1
16880,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
16884,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1
16888,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
16892,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1
16893,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1
17112,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
17144,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1
